player_ip,timestamp,yolo_obj,confidence,position_of_object
172.19.113.65,1742105843312,enemy,0.7659599,"[155, 148, 37, 61]"
172.19.113.65,1742105843329,enemy,0.9336839,"[142, 148, 40, 62]"
172.19.113.65,1742105843345,enemy,0.8098051,"[127, 149, 35, 64]"
172.19.113.65,1742105843345,enemy,0.5114773,"[126, 148, 45, 63]"
172.19.113.65,1742105843362,enemy,0.64867043,"[105, 147, 41, 63]"
172.19.113.65,1742105843378,enemy,0.64867043,"[105, 147, 41, 63]"
172.19.113.65,1742105843397,enemy,0.9203537,"[83, 144, 49, 65]"
172.19.113.65,1742105843415,enemy,0.8930513,"[87, 144, 46, 64]"
172.19.113.65,1742105843432,enemy,0.8930513,"[87, 144, 46, 64]"
172.19.113.65,1742105843453,enemy,0.8003703,"[98, 145, 31, 74]"
172.19.113.65,1742105843473,enemy,0.8003703,"[98, 145, 31, 74]"
172.19.113.65,1742105843492,enemy,0.8003703,"[98, 145, 31, 74]"
172.19.113.65,1742105843527,enemy,0.6206746,"[121, 155, 24, 63]"
172.19.113.65,1742105843544,enemy,0.7135961,"[140, 160, 24, 63]"
172.19.113.65,1742105843560,enemy,0.91196704,"[154, 165, 24, 58]"
172.19.113.65,1742105843576,enemy,0.93652326,"[170, 169, 22, 57]"
172.19.113.65,1742105843594,enemy,0.93941313,"[172, 172, 25, 55]"
172.19.113.65,1742105843611,enemy,0.65332454,"[184, 173, 23, 56]"
172.19.113.65,1742105843611,enemy,0.6520454,"[186, 171, 21, 60]"
172.19.113.65,1742105843628,enemy,0.9397784,"[191, 172, 26, 55]"
172.19.113.65,1742105843645,enemy,0.93996376,"[201, 175, 24, 49]"
172.19.113.65,1742105843645,enemy,0.54426587,"[239, 208, 45, 24]"
172.19.113.65,1742105843663,enemy,0.9478699,"[216, 173, 25, 55]"
172.19.113.65,1742105843680,enemy,0.9635795,"[224, 175, 24, 49]"
172.19.113.65,1742105843697,enemy,0.7898092,"[238, 178, 21, 47]"
172.19.113.65,1742105843697,enemy,0.966025,"[239, 183, 21, 44]"
172.19.113.65,1742105843714,enemy,0.9803906,"[244, 185, 22, 43]"
172.19.113.65,1742105843731,enemy,0.983803,"[248, 188, 25, 44]"
172.19.113.65,1742105843751,enemy,0.9701382,"[255, 189, 24, 45]"
172.19.113.65,1742105843768,enemy,0.9813849,"[262, 195, 27, 40]"
172.19.113.65,1742105843784,enemy,0.9796354,"[270, 198, 26, 41]"
172.19.113.65,1742105843801,enemy,0.97620374,"[286, 206, 25, 40]"
172.19.113.65,1742105843818,enemy,0.9716855,"[297, 208, 24, 35]"
172.19.113.65,1742105843835,enemy,0.53249836,"[306, 214, 17, 27]"
172.19.113.65,1742105843835,enemy,0.65048426,"[304, 211, 21, 33]"
172.19.113.65,1742105843975,enemy,0.5791218,"[388, 261, 33, 19]"
172.19.113.65,1742105844025,enemy,0.5647803,"[409, 276, 33, 21]"
172.19.113.65,1742105844041,enemy,0.5647803,"[409, 276, 33, 21]"
172.19.113.65,1742105844076,enemy,0.61411357,"[409, 277, 36, 20]"
172.19.113.65,1742105844092,enemy,0.80876815,"[406, 274, 35, 21]"
172.19.113.65,1742105844109,enemy,0.6516101,"[402, 273, 38, 21]"
172.19.113.65,1742105844143,enemy,0.7260397,"[398, 269, 33, 24]"
172.19.113.65,1742105844160,enemy,0.5631646,"[394, 269, 35, 23]"
172.19.113.65,1742105844176,enemy,0.54443103,"[388, 270, 34, 23]"
172.19.113.65,1742105844193,enemy,0.9012733,"[320, 238, 17, 49]"
172.19.113.65,1742105844210,enemy,0.8295909,"[317, 238, 17, 46]"
172.19.113.65,1742105844226,enemy,0.5593443,"[313, 233, 19, 47]"
172.19.113.65,1742105844226,enemy,0.85947484,"[315, 238, 17, 44]"
172.19.113.65,1742105844243,enemy,0.88314104,"[315, 240, 18, 40]"
